datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-10-01 01:21:00,0.1018,-0.0058,-5.2922,-5.2922,0.0,7.1423,12.4344,0.175,0.00075,0.03,0.0,-0.004,-0.0018
2019-10-01 01:22:00,0.1227,0.0209,-5.1714,-5.2922,0.1208,7.2252,12.3966,0.175,0.00075,0.03,0.0211,-0.0039,0.0036
2019-10-01 01:23:00,0.118,-0.0047,-5.1578,-5.1714,0.0136,7.2447,12.4025,0.175,0.00075,0.03,0.0024,-0.0039,-0.0032
2019-10-01 01:24:00,0.1196,0.0016,-5.1294,-5.1578,0.0284,7.2618,12.3912,0.175,0.00075,0.03,0.005,-0.0038,0.0004
2019-10-01 01:25:00,0.1267,0.0071,-5.0722,-5.1294,0.0572,7.2919,12.3641,0.175,0.00075,0.03,0.01,-0.0038,0.0009
2019-10-01 01:26:00,0.1289,0.0022,-5.0347,-5.0722,0.0375,7.3239,12.3586,0.175,0.00075,0.03,0.0066,-0.0038,-0.0006
2019-10-01 01:27:00,0.1356,0.0067,-4.9782,-5.0347,0.0565,7.3536,12.3318,0.175,0.00075,0.03,0.0099,-0.0037,0.0006
2019-10-01 01:28:00,0.136,0.0004,-4.9499,-4.9782,0.0283,7.3712,12.3211,0.175,0.00075,0.03,0.005,-0.0037,-0.0008
2019-10-01 01:29:00,0.1374,0.0014,-4.9211,-4.9499,0.0288,7.3893,12.3104,0.175,0.00075,0.03,0.005,-0.0037,0.0
2019-10-01 01:30:00,0.1328,-0.0046,-4.9211,-4.9211,-0.0,7.3893,12.3104,0.175,0.00075,0.03,-0.0,-0.0037,-0.0009
2019-10-01 01:31:00,0.1489,0.0161,-4.8248,-4.9211,0.0963,7.4479,12.2727,0.175,0.00075,0.03,0.0169,-0.0036,0.0029
2019-10-01 01:32:00,0.1503,0.0014,-4.7863,-4.8248,0.0385,7.4818,12.268,0.175,0.00075,0.03,0.0067,-0.0036,-0.0017
2019-10-01 01:33:00,0.1561,0.0058,-4.7349,-4.7863,0.0514,7.4951,12.2301,0.175,0.00075,0.03,0.009,-0.0036,0.0004
2019-10-01 01:34:00,0.1551,-0.001,-4.715,-4.7349,0.0199,7.5092,12.2242,0.175,0.00075,0.03,0.0035,-0.0035,-0.0009
2019-10-01 01:35:00,0.1639,0.0088,-4.6519,-4.715,0.0631,7.5462,12.1981,0.175,0.00075,0.03,0.011,-0.0035,0.0013
2019-10-01 01:36:00,0.1693,0.0054,-4.5995,-4.6519,0.0524,7.5724,12.1719,0.175,0.00075,0.03,0.0092,-0.0034,-0.0003
2019-10-01 01:37:00,0.1681,-0.0012,-4.5807,-4.5995,0.0188,7.5908,12.1716,0.175,0.00075,0.03,0.0033,-0.0034,-0.001
2019-10-01 01:38:00,0.1769,0.0088,-4.5187,-4.5807,0.062,7.6272,12.1459,0.175,0.00075,0.03,0.0108,-0.0034,0.0013
2019-10-01 01:39:00,0.1829,0.006,-4.4642,-4.5187,0.0545,7.6551,12.1194,0.175,0.00075,0.03,0.0095,-0.0033,-0.0002
2019-10-01 01:40:00,0.1881,0.0052,-4.4148,-4.4642,0.0494,7.6893,12.1041,0.175,0.00075,0.03,0.0086,-0.0033,-0.0002
2019-10-01 01:41:00,0.1932,0.0051,-4.3669,-4.4148,0.0479,7.7161,12.083,0.175,0.00075,0.03,0.0084,-0.0033,-0.0
2019-10-01 01:42:00,0.1885,-0.0047,-4.3669,-4.3669,-0.0,7.7161,12.083,0.175,0.00075,0.03,-0.0,-0.0033,-0.0014
2019-10-01 01:43:00,0.2034,0.0149,-4.2785,-4.3669,0.0884,7.7734,12.0519,0.175,0.00075,0.03,0.0155,-0.0032,0.0027
2019-10-01 01:44:00,0.2033,-0.0001,-4.2503,-4.2785,0.0282,7.7907,12.041,0.175,0.00075,0.03,0.0049,-0.0032,-0.0018
2019-10-01 01:45:00,0.208,0.0047,-4.208,-4.2503,0.0423,7.8228,12.0308,0.175,0.00075,0.03,0.0074,-0.0032,0.0004
2019-10-01 01:46:00,0.2148,0.0068,-4.1532,-4.208,0.0548,7.8512,12.0045,0.175,0.00075,0.03,0.0096,-0.0031,0.0004
